                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                  1.016,                0.81823,                 1.2199,                0.91898,                 0.8729,                0.92181,                0.57563,                 1.3319,                0.95028,                   1.67,              0.0015802,              0.0015802,              0.0015802
                    109,                 1.0507,                0.85353,                 1.2636,                0.95993,                0.92308,                 0.9678,                0.60882,                 1.3449,                0.82466,                 1.6916,              0.0015763,              0.0015763,              0.0015763
                    110,                 1.0831,                 0.8935,                  1.278,                0.83131,                0.94802,                0.95657,                0.56881,                 1.3372,                 0.7873,                 1.6821,              0.0015723,              0.0015723,              0.0015723
                    111,                 1.0196,                0.85044,                 1.2343,                0.83435,                0.96885,                0.96258,                0.60105,                 1.3587,                0.76358,                 1.6787,              0.0015684,              0.0015684,              0.0015684
                    112,                 1.0434,                0.83824,                 1.2523,                0.85789,                0.96154,                0.96335,                0.58553,                  1.297,                 0.8047,                 1.6041,              0.0015644,              0.0015644,              0.0015644
                    113,                0.98088,                0.83091,                 1.2173,                0.95517,                0.96154,                0.98095,                0.62209,                 1.2364,                0.72475,                 1.5924,              0.0015604,              0.0015604,              0.0015604
                    114,                0.98791,                0.80356,                 1.2087,                0.88968,                0.88462,                0.95945,                0.64281,                 1.2267,                 0.7366,                 1.6085,              0.0015565,              0.0015565,              0.0015565
                    115,                0.98833,                0.79579,                 1.2196,                0.95192,                0.92308,                0.97355,                0.62899,                 1.2345,                0.72357,                 1.6046,              0.0015525,              0.0015525,              0.0015525
                    116,                0.96547,                0.79775,                 1.2165,                0.92487,                0.94729,                0.98507,                 0.5947,                 1.3213,                0.73229,                 1.7219,              0.0015486,              0.0015486,              0.0015486
                    117,                 1.0314,                0.85128,                 1.2614,                0.83509,                0.97413,                0.97532,                0.58658,                 1.3964,                0.73344,                 1.7673,              0.0015446,              0.0015446,              0.0015446
                    118,                0.97997,                0.79946,                 1.2203,                0.95568,                0.96154,                0.97087,                0.55985,                 1.3337,                0.77037,                 1.6911,              0.0015406,              0.0015406,              0.0015406
                    119,                 0.9987,                0.81359,                 1.2196,                0.91157,                0.84615,                0.95532,                0.62873,                 1.2343,                0.83946,                  1.561,              0.0015367,              0.0015367,              0.0015367
                    120,                 1.0024,                0.79275,                 1.2127,                0.88218,                0.92308,                0.94477,                0.56118,                  1.283,                0.77544,                 1.6518,              0.0015327,              0.0015327,              0.0015327
                    121,                 0.9689,                0.76009,                 1.2169,                0.95848,                0.88789,                0.97533,                0.59393,                 1.2717,                0.71436,                 1.6619,              0.0015288,              0.0015288,              0.0015288
                    122,                 1.0545,                0.83849,                 1.2496,                0.84904,                0.92308,                0.95137,                 0.5851,                 1.3741,                0.75927,                 1.7496,              0.0015248,              0.0015248,              0.0015248
                    123,                0.95309,                0.78961,                 1.2196,                0.91593,                0.92308,                0.95701,                0.61588,                 1.3663,                0.73025,                  1.691,              0.0015208,              0.0015208,              0.0015208
                    124,                0.97626,                0.74632,                 1.1962,                0.92501,                0.94914,                0.96813,                0.60388,                 1.2909,                0.76432,                  1.608,              0.0015169,              0.0015169,              0.0015169
                    125,                0.99277,                0.79882,                 1.2188,                0.88555,                0.96154,                0.94271,                0.58912,                 1.2253,                0.75374,                 1.5481,              0.0015129,              0.0015129,              0.0015129
                    126,                0.95738,                0.79094,                 1.1958,                0.95926,                0.96154,                0.97633,                0.58284,                 1.3687,                0.74782,                 1.6177,               0.001509,               0.001509,               0.001509
                    127,                0.96542,                0.77654,                 1.2346,                0.97982,                0.92308,                0.98256,                0.60066,                 1.4224,                0.69308,                 1.7567,               0.001505,               0.001505,               0.001505
